app,owner,branch,containers,jobCount,walltime
app-wmaSeg,brainlife,3.6,docker://brainlife/freesurfer-mini:6.0.1,41072,134002436285
app-wmaSeg,brainlife,3.7,docker://brainlife/mcr:r2019a,41072,134002436285
app-wmaSeg,brainlife,3.7,docker://brainlife/pythonvtk:1.1,41072,134002436285
app-wmaSeg,brainlife,3.7,docker://brainlife/freesurfer-mini:6.0.1,41072,134002436285
app-wmaSeg,brainlife,3.8,docker://brainlife/mcr:r2019a,41072,134002436285
app-wmaSeg,brainlife,3.8,docker://brainlife/pythonvtk:1.1,41072,134002436285
app-wmaSeg,brainlife,3.8,docker://brainlife/freesurfer-mini:6.0.1,41072,134002436285
app-wmaSeg,brainlife,3.9,docker://brainlife/mcr:r2019a,41072,134002436285
app-wmaSeg,brainlife,3.9,docker://brainlife/pythonvtk:1.1,41072,134002436285
app-wmaSeg,brainlife,3.9,docker://brainlife/freesurfer-mini:6.0.1,41072,134002436285
app-mrtrix3-act,brainlife,master,docker://brainlife/mrtrix3:3.0.0,59591,219478080542
app-mrtrix3-act,brainlife,1.0,docker://brainlife/mrtrix3:3.0_RC3,59591,219478080542
app-mrtrix3-act,brainlife,1.1,docker://brainlife/mrtrix3:3.0_RC3,59591,219478080542
app-mrtrix3-act,brainlife,1.2,docker://brainlife/mrtrix3:3.0_RC3,59591,219478080542
app-mrtrix3-act,brainlife,1.3,docker://brainlife/mrtrix3:3.0_RC3,59591,219478080542
app-mrtrix3-act,brainlife,1.4,docker://brainlife/mrtrix3:3.0_RC3,59591,219478080542
app-mrtrix3-act,brainlife,grad_check,docker://brainlife/mrtrix3:3.0_RC3,59591,219478080542
app-mrtrix3-act,brainlife,mask-fix,docker://brainlife/mrtrix3:3.0_RC3,59591,219478080542
app-mrtrix3-act,brainlife,mask-patch,docker://brainlife/mrtrix3:3.0_RC3,59591,219478080542
app-roi2roitracking,brainlife,master,docker://brainlife/freesurfer-mini:6.0.1,28551,60754206
app-roi2roitracking,brainlife,master,docker://brainlife/mrtrix3:3.0_RC3,28551,60754206
app-roi2roitracking,brainlife,master,docker://brainlife/mrtrix:0.2.13,28551,60754206
app-roi2roitracking,brainlife,master,docker://brainlife/mcr:r2019a,28551,60754206
app-roi2roitracking,brainlife,1.0,docker://brainlife/pythonvtk:1.1,28551,60754206
app-roi2roitracking,brainlife,1.0,docker://brainlife/freesurfer_on_mcr:6.0.2,28551,60754206
app-roi2roitracking,brainlife,1.0,docker://brainlife/mrtrix_on_mcr:1.0,28551,60754206
app-roi2roitracking,brainlife,1.1,docker://brainlife/pythonvtk:1.1,28551,60754206
app-roi2roitracking,brainlife,1.1,docker://brainlife/freesurfer_on_mcr:6.0.2,28551,60754206
app-roi2roitracking,brainlife,1.1,docker://brainlife/mrtrix_on_mcr:1.0,28551,60754206
app-roi2roitracking,brainlife,1.2,docker://brainlife/pythonvtk:1.1,28551,60754206
app-roi2roitracking,brainlife,1.2,docker://brainlife/freesurfer_on_mcr:6.0.2,28551,60754206
app-roi2roitracking,brainlife,1.2,docker://brainlife/mrtrix_on_mcr:1.0,28551,60754206
app-roi2roitracking,brainlife,1.2,docker://brainlife/mrtrix3:3.0_RC3,28551,60754206
app-roi2roitracking,brainlife,1.3,docker://brainlife/pythonvtk:1.1,28551,60754206
app-roi2roitracking,brainlife,1.3,docker://brainlife/freesurfer_on_mcr:6.0.2,28551,60754206
app-roi2roitracking,brainlife,1.3,docker://brainlife/mrtrix_on_mcr:1.0,28551,60754206
app-roi2roitracking,brainlife,1.3,docker://brainlife/mrtrix3:3.0_RC3,28551,60754206
app-roi2roitracking,brainlife,1.4,docker://brainlife/mrtrix3:3.0_RC3,28551,60754206
app-roi2roitracking,brainlife,1.4,docker://brainlife/mrtrix:0.2.13,28551,60754206
app-roi2roitracking,brainlife,1.4,docker://brainlife/mcr:r2019a,28551,60754206
app-roi2roitracking,brainlife,1.4,docker://brainlife/pythonvtk:1.1,28551,60754206
app-roi2roitracking,brainlife,1.4,docker://brainlife/freesurfer-mini:6.0.1,28551,60754206
app-roi2roitracking,brainlife,dirFix,docker://brainlife/mrtrix3:3.0_RC3,28551,60754206
app-roi2roitracking,brainlife,dirFix,docker://brainlife/mrtrix:0.2.13,28551,60754206
app-roi2roitracking,brainlife,dirFix,docker://brainlife/mcr:r2019a,28551,60754206
app-roi2roitracking,brainlife,dirFix,docker://brainlife/pythonvtk:1.1,28551,60754206
app-roi2roitracking,brainlife,dirFix,docker://brainlife/freesurfer-mini:6.0.1,28551,60754206
app-roi2roitracking,brainlife,optic_radiation_eccentricity,docker://brainlife/freesurfer_on_mcr:6.0.2,28551,60754206
app-roi2roitracking,brainlife,optic_radiation_eccentricity,docker://brainlife/mrtrix3:3.0_RC3,28551,60754206
app-roi2roitracking,brainlife,optic_radiation_eccentricity,docker://brainlife/mrtrix_on_mcr:1.0,28551,60754206
app-roi2roitracking,brainlife,optic_radiation_eccentricity,docker://brainlife/mcr:neurodebian1604-r201a,28551,60754206
app-roi2roitracking,brainlife,optic_radiation_eccentricity,docker://brainlife/pythonvtk:1.1,28551,60754206
app-roi2roitracking,brainlife,thora-combined-v1.0,docker://brainlife/freesurfer_on_mcr:6.0.2,28551,60754206
app-roi2roitracking,brainlife,thora-combined-v1.0,docker://brainlife/mrtrix3:3.0_RC3,28551,60754206
app-roi2roitracking,brainlife,thora-combined-v1.0,docker://brainlife/mrtrix_on_mcr:1.0,28551,60754206
app-roi2roitracking,brainlife,thora-combined-v1.0,docker://brainlife/mcr:neurodebian1604-r201a,28551,60754206
app-roi2roitracking,brainlife,thora-combined-v1.0,docker://brainlife/pythonvtk:1.1,28551,60754206
app-roi2roitracking,brainlife,thora-combined-v1.0,docker://brainlife/fsl:latest,28551,60754206
app-noddi-amico,brainlife,master,docker://brainlife/fsl:5.0.9,27856,128911395305
app-noddi-amico,brainlife,master,docker://python:3,27856,128911395305
app-noddi-amico,brainlife,master,docker://brainlife/amico:2.1b,27856,128911395305
app-noddi-amico,brainlife,master,docker://brainlife/mcr:neurodebian1604-r2017a,27856,128911395305
app-noddi-amico,brainlife,1.1,docker://brainlife/mcr:neurodebian1604-r2017a,27856,128911395305
app-noddi-amico,brainlife,1.1,docker://brainlife/fsl:5.0.9,27856,128911395305
